date,value
2021-08-27,1841.631
2021-08-26,1885.152
2021-08-25,2546.628
2021-08-24,2060.728
2021-08-23,1423.3
2021-08-22,4015.31
2021-08-21,5467.641
2021-08-20,2693.409
2021-08-19,1611.053
2021-08-18,2394.692
2021-08-17,2615.369
2021-08-16,2370.859
2021-08-15,3412.8
2021-08-14,7446.303
2021-08-13,3232.801
2021-08-12,4749.12
2021-08-11,7941.323
2021-08-10,7748.062
2021-08-09,8868.4
2021-08-08,7883.347
2021-08-07,5104.253
2021-08-06,3865.26
2021-08-05,1925
2021-08-04,4799.092
2021-08-03,3954.806
2021-08-02,2589.69
2021-08-01,2704.979
2021-07-31,4477.388
2021-07-30,1544.671
2021-07-29,4353.433
2021-07-28,4415.845
2021-07-27,1854.186
2021-07-26,2184.501
2021-07-25,3265.68
2021-07-24,2457.086
2021-07-23,2357.471
2021-07-22,8522.01
2021-07-21,2982.527
2021-07-20,2209.787
2021-07-19,3125.542
2021-07-18,3593.411
2021-07-17,6872.007
2021-07-16,2162.268
2021-07-15,5662.415
2021-07-14,4276.129
2021-07-13,3304.486
2021-07-12,858.685
2021-07-11,8291.467
2021-07-10,5215.141
2021-07-09,3968.452
2021-07-08,2550.816
2021-07-07,1676.163
2021-07-06,1624.914
2021-07-05,5166.723
2021-07-04,4529.423
2021-07-03,7788.257
2021-07-02,2448.549
2021-07-01,2254.973
2021-06-30,4538.498
2021-06-29,2015.743
2021-06-28,1676.638
2021-06-27,3289.534
2021-06-26,7007.102
2021-06-25,3404.244
2021-06-24,1391.085
2021-06-23,1915.649
2021-06-22,1068.996
2021-06-21,887.508
2021-06-20,2717.02
2021-06-19,3175.509
2021-06-18,6994.427
2021-06-17,3732.966
2021-06-16,1612.104
2021-06-15,9966.646
2021-06-14,1302.47
2021-06-13,3049.419
2021-06-12,1700.667
2021-06-11,4282.583
2021-06-10,4915.623
2021-06-09,2324.801
2021-06-08,3899.956
2021-06-07,1997.825
2021-06-06,1810.828
2021-06-05,9527.33
2021-06-04,4500.728
2021-06-03,1231.983
2021-06-02,11410.083
2021-06-01,1927.374
2021-05-31,2019.932
2021-05-30,2528.86
2021-05-29,6673.236
2021-05-28,3264.342
2021-05-27,1273.277
2021-05-26,5376.756
2021-05-25,2126.514
2021-05-24,1593.068
2021-05-23,2522.323
2021-05-22,11716.28
2021-05-21,2754.197
2021-05-20,10280.033
2021-05-19,8488.846
2021-05-18,10226.585
2021-05-17,7145.167
2021-05-16,5079.183
2021-05-15,3972.577
2021-05-14,2342.464
2021-05-13,4475.236
2021-05-12,2357.886
2021-05-11,3893.366
2021-05-10,2376.615
2021-05-09,4168.448
2021-05-08,2631.496
2021-05-07,5021.255
2021-05-06,5155.997
2021-05-05,5264.699
2021-05-04,1189.935
2021-05-03,4354.83
2021-05-02,2555.313
2021-05-01,5925.465
2021-04-30,5286.829
2021-04-29,6585.611
2021-04-28,4317.099
2021-04-27,3646.431
2021-04-26,1907.311
2021-04-25,8573.321
2021-04-24,5131.301
2021-04-23,3838.34
2021-04-22,3875.008
2021-04-21,1438.492
2021-04-20,3523.436
2021-04-19,4055.696
2021-04-18,1720.903
2021-04-17,7031.116
2021-04-16,4450.872
2021-04-15,24.432
2021-04-14,1226.686
2021-04-13,2183.862
2021-04-12,1288.232
2021-04-11,5998.167
2021-04-10,4380.07
2021-04-09,5529.821
2021-04-08,3359.818
2021-04-07,1191.146
2021-04-06,3762.542
2021-04-05,9037.491
2021-04-04,5846.741
2021-04-03,2766.536
2021-04-02,12703.612
2021-04-01,2153.825
2021-03-31,2966.64
2021-03-30,9753.981
2021-03-29,2523.608
2021-03-28,2270.359
2021-03-27,4423.242
2021-03-26,4042.836
2021-03-25,1598.13
2021-03-24,2825.329
2021-03-23,3043.213
2021-03-22,2218.602
2021-03-21,6459.093
2021-03-20,4273.352
2021-03-19,8396.928
2021-03-18,2320.608
2021-03-17,1613.674
2021-03-16,1857.126
2021-03-15,2546.484
2021-03-14,6817.283
2021-03-13,7582.796
2021-03-12,4560.521
2021-03-11,6057.478
2021-03-10,2591.805
2021-03-09,2211.987
2021-03-08,1016.577
2021-03-07,1970.153
2021-03-06,6240.316
2021-03-05,3644.395
2021-03-04,3118.318
2021-03-03,2581.69
2021-03-02,1365.468
2021-03-01,2516.892
2021-02-28,3027.827
2021-02-27,1478.907
2021-02-26,918.339
2021-02-25,977.177
2021-02-24,8157.318
2021-02-23,7032.239
2021-02-22,1472.381
2021-02-21,3141.833
2021-02-20,7431.835
2021-02-19,6981.507
2021-02-18,4076.793
2021-02-17,5909.125
2021-02-16,2300.904
2021-02-15,2656.842
2021-02-14,2802.741
2021-02-13,5720.341
2021-02-12,2212.599
2021-02-11,2744.882
2021-02-10,4191.099
2021-02-09,1512.955
2021-02-08,2229.047
2021-02-07,3142.75
2021-02-06,8758.729
2021-02-05,5443.423
2021-02-04,5019.096
2021-02-03,8303.85
2021-02-02,2479.782
2021-02-01,3183.465
2021-01-31,1650.903
2021-01-30,3652.079
2021-01-29,4570.539
2021-01-28,2421.586
2021-01-27,1806.133
2021-01-26,2265.781
2021-01-25,1635.666
2021-01-24,2592.343
2021-01-23,11217.498
2021-01-22,4933.606
2021-01-21,1451.078
2021-01-20,3623.237
2021-01-19,1459.881
2021-01-18,2020.533
2021-01-17,2719.438
2021-01-16,4141.178
2021-01-15,2265.605
2021-01-14,3518.421
2021-01-13,2011.967
2021-01-12,3471.296
2021-01-11,1934.227
2021-01-10,3114.631
2021-01-09,3909.618
2021-01-08,2351.874
2021-01-07,3497.244
2021-01-06,2246.477
2021-01-05,2545.162
2021-01-04,3891.651
2021-01-03,3971.177
2021-01-02,2974.277
2021-01-01,2181.318
2020-12-31,5697.889
2020-12-30,4243.811
2020-12-29,2542.064
2020-12-28,3972.721
2020-12-27,3571.625
2020-12-26,1882.177
2020-12-25,1846.626
2020-12-24,3321.543
2020-12-23,2155.112
2020-12-22,3008.047
2020-12-21,2472.122
2020-12-20,3010.438
2020-12-19,2753.786
2020-12-18,3542.929
2020-12-17,5748.257
2020-12-16,3415.419
2020-12-15,1915.837
2020-12-14,5351.401
2020-12-13,5564.603
2020-12-12,3239.602
2020-12-11,3573.677
2020-12-10,1955.889
2020-12-09,7275.575
2020-12-08,3921.607
2020-12-07,437.12
2020-12-06,2225.416
2020-12-05,2059.671
2020-12-04,2195.426
2020-12-03,3525.045
2020-12-02,1895.46
2020-12-01,2941.099
2020-11-30,3853.686
2020-11-29,2529.708
2020-11-28,1549.158
2020-11-27,4210.796
2020-11-26,3216.206
2020-11-25,2374.378
2020-11-24,1331.347
2020-11-23,3400.746
2020-11-22,1887.45
2020-11-21,2193.899
2020-11-20,2738.486
2020-11-19,3307.995
2020-11-18,1915.44
2020-11-17,2122.008
2020-11-16,3209.866
2020-11-15,936.286
2020-11-14,1883.478
2020-11-13,2283.562
2020-11-12,1537.229
2020-11-11,2835.944
2020-11-10,3770.538
2020-11-09,791.339
2020-11-08,2006.052
2020-11-07,2911.013
2020-11-06,6719.31
2020-11-05,6641.583
2020-11-04,1710.72
2020-11-03,4494.147
2020-11-02,2233.765
2020-11-01,4680.49
2020-10-31,5058.34
2020-10-30,3602.524
2020-10-29,3442.703
2020-10-28,2851.808
2020-10-27,4742.629
2020-10-26,2131.576
2020-10-25,1621.857
2020-10-24,1578.993
2020-10-23,8266.826
2020-10-22,3866.552
2020-10-21,1457.898
2020-10-20,5270.663
2020-10-19,1042.978
2020-10-18,1580.149
2020-10-17,1373.912
2020-10-16,762.122
2020-10-15,3738.742
2020-10-14,2130.189
2020-10-13,4206.532
2020-10-12,1252.138
2020-10-11,1633.558
2020-10-10,2339.714
2020-10-09,4025.638
2020-10-08,1515.635
2020-10-07,1691.735
2020-10-06,3794.89
2020-10-05,2162.57
2020-10-04,7028.042
2020-10-03,4384.596
2020-10-02,2290.942
2020-10-01,3454.198
2020-09-30,1698.232
2020-09-29,1365.983
2020-09-28,1653.349
2020-09-27,3107.29
2020-09-26,4338.226
2020-09-25,1870.167
2020-09-24,2491.139
2020-09-23,3752.369
2020-09-22,4361.302
2020-09-21,3296.479
2020-09-20,5630.361
2020-09-19,4145.147
2020-09-18,3303.686
2020-09-17,2049.546
2020-09-16,1248.32
2020-09-15,1398.07
2020-09-14,917.087
2020-09-13,2754.949
2020-09-12,4984.145
2020-09-11,4355.069
2020-09-10,1203.675
2020-09-09,4602.411
2020-09-08,3135.578
2020-09-07,3124.204
2020-09-06,3191.858
2020-09-05,3488.674
2020-09-04,2043.492
2020-09-03,2141.214
2020-09-02,1550.235
2020-09-01,6225.711
2020-08-31,3379.359
2020-08-30,2460.018
2020-08-29,4190.483
2020-08-28,5956.34
2020-08-27,1552.684
2020-08-26,1191.534
2020-08-25,4022.855
2020-08-24,1807.276
2020-08-23,3424.911
2020-08-22,3695.659
2020-08-21,3905.273
2020-08-20,1675.459
2020-08-19,1346.833
2020-08-18,5572.417
2020-08-17,1421.689
2020-08-16,2419.367
2020-08-15,4597.9
2020-08-14,3577.208
2020-08-13,2918.501
2020-08-12,1288.912
2020-08-11,7194.438
2020-08-10,2643.723
2020-08-09,2695.613
2020-08-08,3608.389
2020-08-07,5398.168
2020-08-06,1370.989
2020-08-05,1779.957
2020-08-04,1889.106
2020-08-03,2924.742
2020-08-02,2607.07
2020-08-01,1078.023
2020-07-31,1832.287
2020-07-30,748.392
2020-07-29,878.149
2020-07-28,1877.859
2020-07-27,2159.606
2020-07-26,8116.312
2020-07-25,2196.139
2020-07-24,2881.018
2020-07-23,1360.907
2020-07-22,2761.692
2020-07-21,2350.296
2020-07-20,1904.516
2020-07-19,1995.443
2020-07-18,2920.585
2020-07-17,2133.775
2020-07-16,1286.161
2020-07-15,1251.348
2020-07-14,3408.434
2020-07-13,953.63
2020-07-12,2727.366
2020-07-11,2055.884
2020-07-10,1863.715
2020-07-09,1870.203
2020-07-08,1344.645
2020-07-07,1987.654
2020-07-06,1471.83
2020-07-05,14488.935
2020-07-04,4281.612
2020-07-03,5592.551
2020-07-02,1409.079
2020-07-01,2740.048
2020-06-30,1075.907
2020-06-29,1967.806
2020-06-28,1846.711
2020-06-27,3263.484
2020-06-26,1951.031
2020-06-25,1121.073
2020-06-24,7846.634
2020-06-23,1830.592
2020-06-22,1662.876
2020-06-21,2573.383
2020-06-20,4025.546
2020-06-19,2028.653
2020-06-18,1342.917
2020-06-17,3001.223
2020-06-16,2219.896
2020-06-15,1554.191
2020-06-14,2451.74
2020-06-13,3268.823
2020-06-12,7306.463
2020-06-11,1860.973
2020-06-10,1254.086
2020-06-09,1246.963
2020-06-08,2256.184
2020-06-07,2353.467
2020-06-06,11652.193
2020-06-05,3313.079
2020-06-04,3193.896
2020-06-03,4904.102
2020-06-02,6226.358
2020-06-01,2939.191
2020-05-31,14209.949
2020-05-30,4425.75
2020-05-29,3469.767
2020-05-28,5218.729
2020-05-27,2222.013
2020-05-26,1715.786
2020-05-25,1772.393
2020-05-24,12708.024
2020-05-23,1300.787
2020-05-22,5737.927
2020-05-21,1261.914
2020-05-20,1165.913
2020-05-19,570.123
2020-05-18,849.351
2020-05-17,1280.249
2020-05-16,1397.696
2020-05-15,1134.024
2020-05-14,631.569
2020-05-13,1200.137
2020-05-12,397.453
2020-05-11,651.792
2020-05-10,11156.679
2020-05-09,1262.36
2020-05-08,450.343
2020-05-07,420.009
