date,value
2021-07-01,87.606
2021-06-30,176.757
2021-06-29,78.311
2021-06-28,65.166
2021-06-27,128.113
2021-06-26,273.037
2021-06-25,132.437
2021-06-24,54.115
2021-06-23,74.574
2021-06-22,41.478
2021-06-21,34.41
2021-06-20,105.602
2021-06-19,123.494
2021-06-18,272.955
2021-06-17,145.3
2021-06-16,62.792
2021-06-15,388.86
2021-06-14,50.537
2021-06-13,118.772
2021-06-12,66.162
2021-06-11,166.79
2021-06-10,191.62
2021-06-09,90.533
2021-06-08,151.931
2021-06-07,77.67
2021-06-06,70.428
2021-06-05,379.268
2021-06-04,181.858
2021-06-03,47.998
2021-06-02,445.351
2021-06-01,75.896
2021-05-31,79.54
2021-05-30,98.203
2021-05-29,260.186
2021-05-28,127.065
2021-05-27,49.542
2021-05-26,209.816
2021-05-25,82.676
2021-05-24,61.875
2021-05-23,98.142
2021-05-22,456.72
2021-05-21,106.929
2021-05-20,400.842
2021-05-19,330.923
2021-05-18,398.815
2021-05-17,278.43
2021-05-16,197.908
2021-05-15,154.262
2021-05-14,90.978
2021-05-13,174.335
2021-05-12,91.645
2021-05-11,151.561
2021-05-10,92.468
2021-05-09,163.916
2021-05-08,102.221
2021-05-07,195.573
2021-05-06,201.092
2021-05-05,205.247
2021-05-04,46.247
2021-05-03,169.738
2021-05-02,99.446
2021-05-01,230.628
2021-04-30,206.033
2021-04-29,256.816
2021-04-28,168.275
2021-04-27,141.989
2021-04-26,74.059
2021-04-25,334.13
2021-04-24,199.634
2021-04-23,149.571
2021-04-22,151.599
2021-04-21,55.945
2021-04-20,137.218
2021-04-19,158.067
2021-04-18,67.048
2021-04-17,274.256
2021-04-16,173.38
2021-04-15,0.951
2021-04-14,47.63
2021-04-13,84.92
2021-04-12,50.104
2021-04-11,233.838
2021-04-10,170.488
2021-04-09,215.476
2021-04-08,130.864
2021-04-07,46.26
2021-04-06,146.588
2021-04-05,352.42
2021-04-04,227.799
2021-04-03,107.911
2021-04-02,495.379
2021-04-01,83.9
2021-03-31,115.779
2021-03-30,380.582
2021-03-29,98.192
2021-03-28,88.289
2021-03-27,174.373
2021-03-26,157.885
2021-03-25,62.073
2021-03-24,110.113
2021-03-23,118.656
2021-03-22,86.286
2021-03-21,251.711
2021-03-20,166.479
2021-03-19,327.516
2021-03-18,90.279
2021-03-17,62.699
2021-03-16,72.186
2021-03-15,99.06
2021-03-14,265.775
2021-03-13,295.438
2021-03-12,177.686
2021-03-11,236.028
2021-03-10,101.362
2021-03-09,86.716
2021-03-08,40.242
2021-03-07,77.99
2021-03-06,243.312
2021-03-05,142.538
2021-03-04,122.33
2021-03-03,101.319
2021-03-02,53.055
2021-03-01,98.031
2021-02-28,118.652
2021-02-27,57.722
2021-02-26,35.652
2021-02-25,38.04
2021-02-24,318.304
2021-02-23,274.357
2021-02-22,57.242
2021-02-21,122.193
2021-02-20,290.033
2021-02-19,272.496
2021-02-18,158.957
2021-02-17,230.606
2021-02-16,89.574
2021-02-15,103.343
2021-02-14,110.842
2021-02-13,222.912
2021-02-12,86.108
2021-02-11,106.755
2021-02-10,163.45
2021-02-09,59.016
2021-02-08,86.835
2021-02-07,122.598
2021-02-06,341.547
2021-02-05,211.952
2021-02-04,195.715
2021-02-03,324.107
2021-02-02,96.447
2021-02-01,124.022
2021-01-31,64.291
2021-01-30,142.093
2021-01-29,204.78
2021-01-28,94.288
2021-01-27,70.16
2021-01-26,88.006
2021-01-25,63.636
2021-01-24,100.859
2021-01-23,437.798
2021-01-22,192.124
2021-01-21,56.446
2021-01-20,141.28
2021-01-19,56.797
2021-01-18,78.671
2021-01-17,106.106
2021-01-16,161.202
2021-01-15,88.071
2021-01-14,137.049
2021-01-13,78.431
2021-01-12,136.297
2021-01-11,75.26
2021-01-10,121.091
2021-01-09,152.184
2021-01-08,91.508
2021-01-07,136.381
2021-01-06,87.332
2021-01-05,99.388
2021-01-04,151.584
2021-01-03,154.419
2021-01-02,115.509
2021-01-01,84.864
2020-12-31,221.868
2020-12-30,165.171
2020-12-29,98.7
2020-12-28,154.528
2020-12-27,139.024
2020-12-26,73.129
2020-12-25,71.622
2020-12-24,129.067
2020-12-23,83.733
2020-12-22,117.025
2020-12-21,96.145
2020-12-20,117.059
2020-12-19,107.005
2020-12-18,137.525
2020-12-17,223.687
2020-12-16,132.931
2020-12-15,74.698
2020-12-14,207.987
2020-12-13,216.565
2020-12-12,125.991
2020-12-11,139.301
2020-12-10,75.93
2020-12-09,283.633
2020-12-08,153.945
2020-12-07,17.163
2020-12-06,86.885
2020-12-05,80.077
2020-12-04,85.427
2020-12-03,137.38
2020-12-02,73.546
2020-12-01,114.466
2020-11-30,150.165
2020-11-29,98.256
2020-11-28,60.107
2020-11-27,163.843
2020-11-26,124.983
2020-11-25,92.129
2020-11-24,51.772
2020-11-23,132.463
2020-11-22,73.352
2020-11-21,85.326
2020-11-20,107.166
2020-11-19,128.591
2020-11-18,74.372
2020-11-17,82.567
2020-11-16,124.844
2020-11-15,36.535
2020-11-14,73.147
2020-11-13,88.764
2020-11-12,59.714
2020-11-11,110.234
2020-11-10,146.886
2020-11-09,30.629
2020-11-08,77.895
2020-11-07,113.084
2020-11-06,262.145
2020-11-05,258.919
2020-11-04,66.421
2020-11-03,175.089
2020-11-02,86.825
2020-11-01,181.931
2020-10-31,198.434
2020-10-30,140.282
2020-10-29,134.108
2020-10-28,110.994
2020-10-27,184.735
2020-10-26,83.113
2020-10-25,62.972
2020-10-24,61.177
2020-10-23,322.329
2020-10-22,150.721
2020-10-21,56.584
2020-10-20,205.418
2020-10-19,40.573
