from,to,"light (s)","deep (s)","rem (s)","awake (s)","wake up","Duration to sleep (s)","Duration to wake up (s)","Snoring (s)","Snoring episodes","Average heart rate","Heart rate (min)","Heart rate (max)","Night events"
2020-07-11T22:52:00-04:00,2020-07-12T07:28:00-04:00,15660,13560,0,1740,4,120,720,0,0,39,32,88,
2020-07-12T23:55:00-04:00,2020-07-13T08:12:00-04:00,15360,13320,0,1140,2,120,0,0,0,41,33,78,
2020-07-13T23:40:00-04:00,2020-07-14T07:26:00-04:00,15840,10740,0,1380,4,120,0,0,0,40,31,90,
2020-07-15T00:30:00-04:00,2020-07-15T08:24:00-04:00,15360,12600,0,480,2,120,0,0,0,39,34,66,
2020-07-16T00:04:00-04:00,2020-07-16T07:47:00-04:00,15180,11340,0,1260,2,120,120,0,0,39,33,75,
2020-07-17T01:42:00-04:00,2020-07-17T08:06:00-04:00,10800,10620,0,1620,3,120,0,0,0,37,34,45,
2020-07-19T04:14:00-04:00,2020-07-19T07:40:00-04:00,6180,6060,0,120,0,120,0,0,0,37,33,68,
2020-07-19T23:52:00-04:00,2020-07-20T07:23:00-04:00,9960,16980,0,120,0,120,0,0,0,38,32,64,
2020-07-21T02:06:00-04:00,2020-07-21T07:55:00-04:00,10320,9780,0,840,1,120,0,0,0,42,32,102,
2020-07-22T01:19:00-04:00,2020-07-22T05:15:00-04:00,6480,5580,0,2100,2,120,840,0,0,47,32,91,
2020-07-23T00:12:00-04:00,2020-07-23T07:42:00-04:00,12480,14160,0,360,1,120,60,0,0,36,32,68,
2020-07-23T23:42:00-04:00,2020-07-24T07:36:00-04:00,15120,11880,0,1440,4,180,60,0,0,45,33,76,
2020-07-26T01:15:00-04:00,2020-07-26T08:09:00-04:00,11339,11161,0,2340,3,120,0,0,0,41,32,81,
2020-07-26T23:33:00-04:00,2020-07-27T07:17:00-04:00,16080,8340,0,3420,6,1020,0,0,0,38,32,67,
2020-07-27T23:08:00-04:00,2020-07-28T07:37:00-04:00,17580,10500,0,2460,6,120,0,0,0,48,32,94,
2020-07-31T01:26:00-04:00,2020-07-31T07:49:00-04:00,10140,10980,0,1860,4,120,0,0,0,39,33,62,
2020-08-03T23:27:00-04:00,2020-08-04T08:10:00-04:00,16740,13740,0,900,3,120,0,0,0,38,32,80,
2020-08-05T01:26:00-04:00,2020-08-05T08:11:00-04:00,11580,11160,0,1560,3,120,0,0,0,41,33,82,
2020-08-06T01:08:00-04:00,2020-08-06T07:50:00-04:00,10320,10680,0,3120,3,1320,480,0,0,42,32,90,
2020-08-07T00:20:00-04:00,2020-08-07T07:38:00-04:00,13140,12540,0,600,2,120,120,0,0,40,32,83,
2020-08-08T12:16:00-04:00,2020-08-08T19:09:00-04:00,10140,14340,0,300,0,300,0,0,0,106,106,106,
2020-08-12T00:52:00-04:00,2020-08-12T08:08:00-04:00,9840,14640,0,1680,1,120,780,0,0,42,32,73,
2020-08-18T01:35:00-04:00,2020-08-18T07:56:00-04:00,9300,12840,0,720,0,120,600,0,0,40,32,69,
2020-08-19T00:16:00-04:00,2020-08-19T08:14:00-04:00,13920,12900,0,1860,1,120,0,0,0,41,32,81,
2020-08-20T00:36:00-04:00,2020-08-20T07:38:00-04:00,11580,12300,0,1440,1,120,180,0,0,38,34,48,
2020-08-20T23:22:00-04:00,2020-08-21T08:38:00-04:00,19260,12780,0,1320,0,600,720,0,0,38,32,99,
2020-08-23T02:01:00-04:00,2020-08-23T07:27:00-04:00,10680,8100,0,780,2,120,180,0,0,43,34,70,
2020-08-25T01:08:00-04:00,2020-08-25T08:59:00-04:00,15660,11820,0,780,1,120,480,0,0,38,33,82,
2020-08-27T02:59:00-04:00,2020-08-27T07:23:00-04:00,7920,6780,0,1140,1,120,540,0,0,43,33,80,
2020-08-27T22:26:00-04:00,2020-08-28T08:30:00-04:00,15720,17700,0,2820,1,120,1860,0,0,42,32,62,
2020-08-29T00:52:00-04:00,2020-08-29T07:49:00-04:00,13200,9300,0,2520,4,120,120,0,0,46,33,82,
2020-08-30T22:58:00-04:00,2020-08-31T07:37:00-04:00,12900,17400,0,840,1,120,0,0,0,42,32,80,
2020-09-01T00:39:00-04:00,2020-09-01T08:08:00-04:00,9540,15300,0,2100,2,120,960,0,0,42,35,105,
2020-09-02T23:32:00-04:00,2020-09-03T04:05:00-04:00,6060,9840,0,480,1,120,180,0,0,47,34,88,
2020-09-04T01:57:00-04:00,2020-09-04T07:48:00-04:00,7860,11400,0,1800,3,120,120,0,0,36,33,48,
2020-09-04T23:09:00-04:00,2020-09-05T07:50:00-04:00,14580,14160,0,2520,4,120,120,0,0,40,32,83,
2020-09-05T22:31:00-04:00,2020-09-06T05:20:00-04:00,9720,14640,0,180,0,120,60,0,0,39,32,77,
2020-09-07T00:26:00-04:00,2020-09-07T07:05:00-04:00,14880,8040,0,1020,1,120,540,0,0,41,33,77,
2020-09-07T23:25:00-04:00,2020-09-08T08:08:00-04:00,11100,16920,0,3360,5,120,240,0,0,39,32,62,
2020-09-09T23:02:00-04:00,2020-09-10T08:07:00-04:00,17340,12840,0,2520,2,240,60,0,0,41,33,94,
2020-09-10T23:35:00-04:00,2020-09-11T07:55:00-04:00,15720,12840,0,1440,2,720,0,0,0,46,32,95,
2020-09-12T00:53:00-04:00,2020-09-12T07:13:00-04:00,11340,11220,0,240,0,120,120,0,0,50,38,92,
2020-09-15T00:40:00-04:00,2020-09-15T06:04:00-04:00,8820,8760,0,1860,3,120,420,0,0,36,33,54,
2020-09-16T00:08:00-04:00,2020-09-16T08:54:00-04:00,16260,13560,0,1740,3,120,0,0,0,38,32,69,
2020-09-17T00:38:00-04:00,2020-09-17T06:35:00-04:00,9960,10740,0,720,0,120,600,0,0,51,32,89,
2020-09-17T23:58:00-04:00,2020-09-18T08:14:00-04:00,13201,13019,0,3540,6,120,0,0,0,47,37,58,
2020-09-19T02:13:00-04:00,2020-09-19T08:08:00-04:00,11820,7800,0,1680,2,300,240,0,0,45,35,78,
2020-09-20T01:42:00-04:00,2020-09-20T09:02:00-04:00,14580,10080,0,1740,3,120,0,0,0,49,35,98,
2020-09-20T23:37:00-04:00,2020-09-21T07:37:00-04:00,8941,17999,0,1860,3,120,60,0,0,50,34,88,
2020-09-21T23:58:00-04:00,2020-09-22T07:33:00-04:00,13500,12060,0,1740,4,0,0,0,0,42,34,76,
2020-09-22T23:29:00-04:00,2020-09-23T08:10:00-04:00,15660,12780,0,2820,4,120,120,0,0,46,34,79,
2020-09-23T23:32:00-04:00,2020-09-24T04:06:00-04:00,9240,7080,0,120,0,120,0,0,0,43,33,62,
2020-09-25T23:48:00-04:00,2020-09-26T07:58:00-04:00,18000,8340,0,3060,4,120,0,0,0,45,33,84,
2020-09-27T00:33:00-04:00,2020-09-27T08:16:00-04:00,15960,9900,0,1920,2,180,0,0,0,47,36,96,
2020-09-27T23:33:00-04:00,2020-09-28T08:06:00-04:00,17460,11880,0,1440,1,120,420,0,0,38,32,52,
2020-09-28T23:56:00-04:00,2020-09-29T08:01:00-04:00,15780,12780,0,540,1,0,240,0,0,41,33,63,
2020-09-29T23:34:00-04:00,2020-09-30T05:42:00-04:00,12300,7080,0,2700,5,120,0,0,0,41,33,85,
2020-10-01T01:34:00-04:00,2020-10-01T07:40:00-04:00,9540,9780,0,2640,4,240,0,0,0,43,31,75,
2020-10-02T02:41:00-04:00,2020-10-02T07:18:00-04:00,10680,5400,0,540,2,120,0,0,0,40,33,65,
2020-10-04T23:11:00-04:00,2020-10-05T07:45:00-04:00,15300,12900,0,2640,4,120,0,0,0,40,32,85,
2020-10-05T23:40:00-04:00,2020-10-06T07:31:00-04:00,12660,14220,0,1380,2,120,60,0,0,36,32,58,
2020-10-07T00:36:00-04:00,2020-10-07T08:00:00-04:00,15119,9540,0,1981,6,120,0,0,0,47,32,117,
2020-10-07T23:10:00-04:00,2020-10-08T07:01:00-04:00,14820,11820,0,1620,1,120,0,0,0,39,32,85,
2020-10-08T23:25:00-04:00,2020-10-09T07:49:00-04:00,15600,13800,0,840,2,120,0,0,0,40,33,97,
2020-10-10T00:47:00-04:00,2020-10-10T08:10:00-04:00,15480,9240,0,1860,2,120,240,0,0,39,32,72,
2020-10-11T01:13:00-04:00,2020-10-11T09:17:00-04:00,16920,10500,0,1620,3,120,0,0,0,40,33,64,
2020-10-11T23:21:00-04:00,2020-10-12T08:00:00-04:00,12780,14400,0,3960,5,120,420,0,0,45,33,96,
2020-10-13T22:56:00-04:00,2020-10-14T07:36:00-04:00,15600,11520,0,4080,6,120,0,0,0,41,31,89,
2020-10-14T22:13:00-04:00,2020-10-15T07:56:00-04:00,17220,16140,0,1620,2,120,360,0,0,37,32,79,
2020-10-16T00:28:00-04:00,2020-10-16T08:17:00-04:00,14520,12600,0,1020,1,120,120,0,0,38,33,97,
2020-10-17T00:21:00-04:00,2020-10-17T09:26:00-04:00,12780,15720,0,4200,7,120,0,0,0,45,31,96,
2020-10-18T22:25:00-04:00,2020-10-19T07:38:00-04:00,15180,14820,0,3180,4,120,480,0,0,42,32,85,
2020-10-19T23:13:00-04:00,2020-10-20T07:46:00-04:00,13860,16200,0,720,2,120,0,0,0,39,32,90,
2020-10-21T00:44:00-04:00,2020-10-21T08:13:00-04:00,11220,12900,0,2820,3,120,360,0,0,54,39,93,
2020-10-21T23:08:00-04:00,2020-10-22T07:41:00-04:00,16140,14340,0,300,1,120,0,0,0,42,33,72,
2020-10-22T23:50:00-04:00,2020-10-23T07:30:00-04:00,12420,12300,0,2880,2,120,540,0,0,39,32,67,
2020-10-25T03:13:00-04:00,2020-10-25T10:03:00-04:00,14460,8940,0,1200,1,120,60,0,0,47,40,61,
2020-10-26T23:08:00-04:00,2020-10-27T07:53:00-04:00,18060,12540,0,900,2,180,180,0,0,40,33,78,
2020-10-28T00:00:00-04:00,2020-10-28T10:24:00-04:00,19319,14161,0,3960,4,120,180,0,0,45,33,86,
2020-10-29T00:13:00-04:00,2020-10-29T08:09:00-04:00,14460,12420,0,1680,3,120,120,0,0,45,33,104,
2020-10-29T23:52:00-04:00,2020-10-30T08:12:00-04:00,17100,10620,0,2280,4,120,0,0,0,39,33,80,
2020-10-31T22:43:00-04:00,2020-11-01T04:00:00-05:00,10200,10020,0,2400,2,120,1200,0,0,50,35,137,
2020-11-01T23:07:00-05:00,2020-11-02T07:50:00-05:00,15360,14160,0,1860,2,240,0,0,0,36,32,74,
2020-11-03T00:07:00-05:00,2020-11-03T08:02:00-05:00,12360,13560,0,2580,2,120,240,0,0,38,33,67,
